,marks,seri,model,yil,km,renk,fiyat,tarih,il-ilce
0,Aston Martin,Vantage,V8 Vantage,2015,59.000,Beyaz,3.000.000 TL,30 Ocak 2022,Gaziantep Şehitkamil
1,Aston Martin,Vanquish,V12 S,2017,12.000,Kahverengi,6.250.000 TL,30 Ocak 2022,İstanbul Bakırköy
2,Aston Martin,Vantage,V8 Vantage,2007,40.000,Füme,1.300.000 TL,29 Ocak 2022,Gaziantep Şehitkamil
3,Aston Martin,Vanquish,V12,2014,12.500,Beyaz,5.250.000 TL,29 Ocak 2022,İstanbul Sarıyer
4,Aston Martin,Vantage,V12 Vantage,2016,8.020,Siyah,4.250.000 TL,29 Ocak 2022,İstanbul Sarıyer
5,Aston Martin,DB11,Coupe,2016,11.050,Füme,4.750.000 TL,29 Ocak 2022,İstanbul Kadıköy
6,Aston Martin,Vanquish,V12,2016,62.860,Füme,4.750.000 TL,29 Ocak 2022,İstanbul Sarıyer
7,Aston Martin,Rapide,V12 Rapide S,2015,9.300,Siyah,3.650.000 TL,28 Ocak 2022,İstanbul Sarıyer
8,Aston Martin,DB9,Coupe,2009,33.675,Gümüş Gri,1.850.000 TL,28 Ocak 2022,İstanbul Sarıyer
9,Aston Martin,DB9,Coupe,2010,41.000,Füme,2.000.000 TL,29 Ocak 2022,İstanbul Sarıyer
10,Aston Martin,DB11,Coupe,2017,2.900,Turuncu,6.950.000 TL,25 Ocak 2022,İstanbul Sarıyer
11,Aston Martin,DB7,Coupe,1998,43.978,Yeşil,2.650.000 TL,24 Ocak 2022,İstanbul Sarıyer
12,Aston Martin,Vanquish,V12,2014,22.000,Beyaz,4.250.000 TL,24 Ocak 2022,Ankara Gölbaşı
13,Aston Martin,Rapide,V12 Rapide AMR,2019,3.065,Siyah,8.550.000 TL,24 Ocak 2022,İstanbul Sarıyer
14,Aston Martin,DB11,Coupe,2017,17.800,Lacivert,6.750.000 TL,23 Ocak 2022,İstanbul Sarıyer
15,Aston Martin,Vanquish,V12,2016,13.214,Kahverengi,4.950.000 TL,22 Ocak 2022,İstanbul Şişli
16,Aston Martin,DBS,DBS Volante,2011,9.213,Gri,5.250.000 TL,22 Ocak 2022,İstanbul Şişli
17,Aston Martin,Rapide,V12 Rapide S,2016,19.000,Bej,4.250.000 TL,24 Ocak 2022,Antalya Manavgat
18,Aston Martin,Vantage,V8 Vantage S,2011,40.040,Siyah,1.770.000 TL,23 Ocak 2022,İstanbul Sarıyer
19,Aston Martin,Rapide,V12 Rapide S,2016,57.401,Gri,3.250.000 TL,23 Ocak 2022,İstanbul Sarıyer
20,Aston Martin,Rapide,V12 Rapide,2011,11.650,Gri,2.400.000 TL,20 Ocak 2022,Ankara Çankaya
21,Aston Martin,DB11,Coupe,2018,9.600,Mavi,6.150.000 TL,22 Ocak 2022,Ankara Çankaya
22,Aston Martin,DB9,Volante,2009,47.700,Siyah,1.750.000 TL,21 Ocak 2022,İstanbul Bakırköy
23,Aston Martin,DB7,Volante,2002,8.000,Füme,2.280.000 TL,19 Ocak 2022,İstanbul Bakırköy
24,Aston Martin,Vantage,V8 Vantage S,2016,46.000,Siyah,2.950.000 TL,19 Ocak 2022,İstanbul Sarıyer
25,Aston Martin,Virage,Coupe,2012,17.500,Kahverengi,3.890.000 TL,17 Ocak 2022,İstanbul Beşiktaş
26,Aston Martin,DB9,Coupe,2009,45.490,Mavi,2.100.000 TL,18 Ocak 2022,İstanbul Kadıköy
27,Aston Martin,DB9,Coupe,2009,46.000,Siyah,2.100.000 TL,16 Ocak 2022,İstanbul Bağcılar
28,Aston Martin,DB7,Coupe,2003,56.400,Gri,1.900.000 TL,15 Ocak 2022,İstanbul Beşiktaş
29,Aston Martin,Vanquish,V12,2016,819,Gri,5.450.000 TL,14 Ocak 2022,İstanbul Şişli
30,Aston Martin,Vantage,V8 Vantage,2007,55.000,Gri,1.250.000 TL,15 Ocak 2022,İstanbul Beşiktaş
31,Aston Martin,Vantage,V8 Vantage,2010,10.000,Siyah,1.850.000 TL,12 Ocak 2022,İstanbul Maltepe
32,Aston Martin,Vantage,V8 Vantage,2018,22.990,Bordo,4.790.000 TL,10 Ocak 2022,İstanbul Şişli
33,Aston Martin,Vantage,V8 Vantage,2012,26.300,Gri,1.789.000 TL,12 Ocak 2022,İstanbul Kadıköy
34,Aston Martin,Vantage,V8 Vantage,2012,22.000,Füme,1.740.000 TL,09 Ocak 2022,İstanbul Beşiktaş
35,Aston Martin,DB9,Coupe,2009,46.000,Siyah,2.100.000 TL,09 Ocak 2022,İstanbul Bakırköy
36,Aston Martin,DBS,DBS Coupe,2018,17.000,Gri,10.950.000 TL,08 Ocak 2022,İstanbul Sarıyer
37,Aston Martin,Vanquish,V12,2015,7.000,Siyah,4.750.000 TL,08 Ocak 2022,İstanbul Beşiktaş
38,Aston Martin,DBS,DBS Coupe,2019,8.000,Bordo,12.750.000 TL,07 Ocak 2022,İstanbul Şişli
39,Aston Martin,Rapide,V12 Rapide S,2016,43.000,Gri,3.650.000 TL,06 Ocak 2022,İstanbul Kadıköy
40,Aston Martin,Vantage,V8 Vantage,2014,38.000,Yeşil,2.950.000 TL,09 Ocak 2022,İstanbul Sarıyer
41,Aston Martin,DB11,Coupe,2017,16.605,Beyaz,6.750.000 TL,07 Ocak 2022,İstanbul Sarıyer
42,Aston Martin,Vantage,V8 Vantage,2015,28.000,Lacivert,2.690.000 TL,05 Ocak 2022,İstanbul Beşiktaş
43,Aston Martin,DB7,Coupe,2001,17.727,Siyah,1.850.000 TL,04 Ocak 2022,Ankara Çankaya
44,Aston Martin,Vantage,V8 Vantage,2011,60.500,Siyah,1.695.000 TL,03 Ocak 2022,Ankara Çankaya
45,Aston Martin,Vantage,V8 Vantage Roadster,2012,17.505,Siyah,2.750.000 TL,03 Ocak 2022,İstanbul Şişli
46,Aston Martin,DB11,Coupe,2018,27.463,Siyah,5.550.000 TL,03 Ocak 2022,Ankara Çankaya
